Study ID,Title,Does the paper suggest methods to quantify the completeness of requirements?,Name,Description,Category
Ahmad 2018,A tool-based boilerplate technique to improve SRS quality: An evaluation,Yes,Expert Judgment Scoring, Experts score the completeness of the software requirements in the SRS produced using the tool-based boilerplate technique on a 5-point Likert scale.,Other novel indicators
Amaral 2022,AI-Enabled Automation for Completeness Checking of Privacy Policies,Yes,Precision,The proportion of actual incompleteness issues correctly identified by the approach out of all issues identified.,Recall-based metrics
Azeem 2024,A Multi-solution Study on GDPR AI-enabled Completeness Checking of DPAs,Yes,Accuracy (A),The proportion of correct predictions (both true positives and true negatives) among the total number of cases examined.,Recall-based metrics
Bankauskaite 2018,An approach: SysML-based automated completeness evaluation of the system requirements specification,Yes,Functional Requirements Refinement by Behavior Elements Metric (RR_FR),Evaluates the refinement of functional requirements by behavior elements.,Traceability-based metrics
Barnat 2016,Analysing sanity of requirements for avionics systems,Yes,Directed partial coverage function,A function that measures the similarity between edge evaluations in two Büchi automata,Traceability-based metrics
Cailliau 2013,Assessing requirements-related risks through probabilistic goals and obstacles,Yes,Estimated Probability of Satisfaction (EPS),The probability of a goal being satisfied given possible obstructions,Other novel indicators
Chattopadhyay 2023,Completeness of Natural Language Requirements: A Comparative Study of User Stories and Feature Descriptions,Yes,Frame Elements Completeness Ratio,This metric calculates the ratio of frame elements (FEs) that actually appear in a requirement sentence to the total number of FEs that should be evoked by the verbs in the sentence.,Pattern/Template coverage
Eckhardt 2016,Challenging Incompleteness of Performance Requirements by Sentence Patterns,Yes,Completeness Classification,Requirements are classified into three categories based on their completeness level.,Other novel indicators
España 2010,An empirical comparative evaluation of requirements engineering methods,Yes,Degree of functional encapsulations completeness (degFEC),Quantifies the completeness of functional requirements relative to a reference model.,Goal-model-based metrics
Espada 2011,Measuring complexity and completeness of KAOS goal models,Yes,"M1 - Percentage of leaf goals that have an associated agent
","This metric directly quantifies the completeness of the KAOS model in terms of agent assignments.
",Goal-model-based metrics
Espada 2013,A framework to evaluate complexity and completeness of KAOS goal models,Yes,PLGWA (Percentage of Leaf Goals With an Agent),Percentage of leaf goals that have an associated agent in the model.,Traceability-based metrics
Ferrari 2014,Measuring and improving the completeness of natural language requirements,Yes,"Degree of Concept Completeness (degCC)
","Measures the completeness of concepts in the requirements specification compared to the input documents.
",Traceability-based metrics
Gnesi 2005,An automatic tool for the analysis of natural language requirements,Yes,Defect rate,Number of defective sentences divided by the total number of sentences,Defect/TBD counters
Gralha 2015,Metrics for measuring complexity and completeness for social goal models,Yes,PGWME (Percentage of Goals With Means-End),Measures the percentage of goals that have means-end links,Goal-model-based metrics
Hu 2010,Semantic-based requirements analysis and verification,Yes,Completeness Ratio,A ratio that quantifies the completeness of the requirements specification,Traceability-based metrics
HuffmanHayes 2020,Towards Improved Network Security Requirements and Policy: Domain-Specific Completeness Analysis via Topic Modeling,Yes,Topic Loading Values,Percentage of words in a document attributed to each topic by LDA,Other novel indicators
Iqbal 2012,Yet another set of requirement metrics for software projects,Yes,Requirement Completeness Index (RCoI),Measures the completeness of gathered requirements,Recall-based metrics
Iqbal 2019,Forward engineering completeness for software by using requirements validation framework,Yes,Functional Requirement Attributes Completeness (FRAC),Measures the completeness of functional requirements attributes,Attribute-based metrics
Issa 2010,Use case patterns driven requirements engineering,Yes,Requirements Model Completion Percentage,A percentage measure of how complete the requirements model is compared to the final set of requirements for the project.,Recall-based metrics
Issa 2011,Automated requirements engineering: Use case patterns-driven approach,Yes,Overall Catalogue Recall,"Measures the percentage of use cases covered by the catalogue compared to the total use cases in the project
",Recall-based metrics
Jiménez 2023,USQA: A User Story Quality Analyzer prototype for supporting software engineering students,Yes,USCompleteness,A binary measure of completeness based on the presence of all three required components in a user story.,Pattern/Template coverage
Jurkiewicz 2015,HAZOP-based identification of events in use cases: An empirical study,Yes,Accuracy,Measures how many events a reviewer identifies compared to the total number of distinct events identified by all reviewers,Recall-based metrics
Kaiya 2006,Using domain ontology as domain knowledge for requirements elicitation,Yes,Completeness (CMP),Measures the ratio of unmapped ontological elements to the total number of ontological elements,Traceability-based metrics
Kaiya 2010,Enhancing domain knowledge for requirements elicitation with Web mining,Yes,Completeness,The ratio of correctly elicited requirements to the total number of correct requirements,Recall-based metrics
Kim 2003,"Assessment of high integrity software components for completeness, consistency, fault-tolerance, and reliability",Yes,"Fault Injection Test Results
","While not a direct metric of completeness, the paper uses the results of fault injection tests to indirectly measure the completeness of requirements",Other novel indicators
Ko 2019,Automatic recommendation to omitted steps in use case specification,Yes,Precision,The ratio of correctly recommended steps to the total number of recommended steps,Recall-based metrics
Kravari 2021,Sense: A flow-down semantics-based requirements engineering framework,Yes,Validation statistics,"Statistical analysis of validation checks in three categories: incompleteness, inconsistency, and system model deficiencies.",Defect/TBD counters
Luitel 2023,Using Language Models for Enhancing the Completeness of Natural-Language Requirements,Yes,Accuracy,"Measures the proportion of BERT's predictions that match novel terminology in the withheld portion of requirements.
",Recall-based metrics
Luitel 2024,Improving requirements completeness: automated assistance through large language models,Yes,"Accuracy
","Ratio of terms in BERT predictions matching some term in the novel terminology of the withheld portion, to the total number of predicted terms.",Recall-based metrics
Menzel 2010,An experimental comparison regarding the completeness of functional requirements specifications,Yes,Number of goals described,Counts the number of system goals addressed in the requirements specification,Recall-based metrics
Miao 2016,Automated requirements validation for ATP software via specification review and testing,Yes,Statement Coverage,Percentage of statements in the prototype executed by test scenarios,Traceability-based metrics
Muhairat 2020,An intelligent recommender system based on association rule analysis for requirement engineering,Yes, Rule Confidence,Ratio of the support of rule items to the support of rule head,Other novel indicators
Sarmiento 2016,"Using correctness, consistency, and completeness patterns for automated scenarios verification",Yes,Uniformity,Measures the consistency of syntax and semantic rules used in scenario descriptions.,Pattern/Template coverage
Stephen 2017,Framework for measuring the quality of software specification,Yes,Structure Completeness Metric,A percentage-based metric that quantifies the completeness of the SRS structure based on the number of matched and additional topics compared to the IEEE 830 standard.,Pattern/Template coverage
Stephen 2020,Evaluation of software requirement specification based on IEEE 830 quality properties,Yes,Topic Similarity Percentage, The percentage of topics in the SRS that match or are similar to the topics in the IEEE 830 standard table of contents.,Pattern/Template coverage
Torre 2020,An AI-Assisted Approach for Checking the Completeness of Privacy Policies against GDPR,Yes,Precision,The ratio of correctly identified incompleteness issues to the total number of identified issues,Recall-based metrics
UmarOng 2023,A Meta-Requirement Approach to Validate User Requirement Specification: Threshold Definition,Yes,STATE,STATE is a proposed unit of measurement used to quantify the completeness of requirements. It represents the percentage of User Requirements (URs) that successfully map to the Meta-Requirements (MR) graph pattern.,Pattern/Template coverage
Xiang 2023,PolicyChecker: Analyzing the GDPR Completeness of Mobile Apps' Privacy Policies,Yes,Number of completeness violations,The total number of unsatisfied mandatory requirements and unsatisfied if-applicable requirement logic chains in a privacy policy.,Defect/TBD counters
Yue 2015,aToucan: An automated framework to derive UML analysis models from use case models,Yes,R_CDcomplt (Class Diagram Completeness),"Measures the completeness of a class diagram based on missing classes, associations, and generalizations",Traceability-based metrics
Zhu 2000,Automating scenario-driven structured requirements engineering,Yes,Test Adequacy Measurement,Measures the adequacy of a set of test scenarios in covering the requirements model.,Traceability-based metrics
Zowghi 2003,"On the interplay between consistency, completeness, and correctness in requirements evolution",Yes,Degree of completeness,Ratio between size of maximal entailed subset and full specification,Recall-based metrics
